Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2023,1000,"23,3","23,4","23,2",92.0,93.0,92.0,22,"22,1",22,"1006,5","1006,5",1006,"1,7",78.0,"3,6","0,2",0
01/01/2023,1100,"23,8","23,8","23,3",91.0,92.0,91.0,"22,2","22,3",22,"1007,4","1007,4","1006,5","1,3",57.0,"2,8","127,9",0
01/01/2023,1200,"24,7","24,9","23,8",86.0,91.0,86.0,"22,3","22,7","22,1","1008,1","1008,1","1007,4","2,4",79.0,"3,5","631,4",0
01/01/2023,1300,"27,4","27,6","24,7",76.0,87.0,75.0,"22,7","23,2","22,2","1008,7","1008,8","1008,1","1,8",90.0,"4,2","1859,6",0
01/01/2023,1400,"28,5","28,5","27,4",73.0,76.0,71.0,"23,1","23,1","22,1","1008,7","1008,9","1008,7","1,5",153.0,"3,9","2048,6",0
01/01/2023,1500,"29,7","29,8","28,3",71.0,74.0,69.0,"23,8","24,3","22,5","1008,5","1008,7","1008,5","2,1",160.0,"4,5","2419,1",0
01/01/2023,1600,"29,7","30,9","29,2",69.0,71.0,66.0,"23,5","24,5","22,8","1007,7","1008,5","1007,7","2,8",131.0,"5,2","2919,7",0
01/01/2023,1700,"30,2","31,3","29,5",65.0,69.0,63.0,"22,9","24,1","22,7",1006,"1007,7",1006,"2,7",181.0,"6,2","2790,4",0
01/01/2023,1800,"32,6","32,9","30,2",60.0,67.0,56.0,"23,9","24,1","22,3","1003,9",1006,"1003,9","2,4",181.0,"5,4","3277,3",0
01/01/2023,1900,"30,1","33,1","30,1",65.0,65.0,55.0,"22,7","23,9","22,4","1003,1","1003,9","1003,1","3,2",77.0,6,"1730,9",0
01/01/2023,2000,"27,4","30,1","27,3",76.0,76.0,61.0,"22,7",23,"20,9","1003,3","1003,3","1002,9","3,3",76.0,"8,3","382,2",0
01/01/2023,2100,"28,4","28,4","27,4",69.0,76.0,69.0,"22,1",23,22,"1003,3","1003,5","1003,2","2,7",69.0,"5,8","751,5",0
01/01/2023,2200,"27,2","28,4","27,2",76.0,76.0,69.0,"22,6","22,6",22,"1003,7","1003,7","1003,3","1,6",75.0,"4,7","265,4",0
01/01/2023,2300,"26,3","27,2","26,3",82.0,82.0,76.0,"22,9","22,9","22,5","1005,1","1005,1","1003,7","1,6",75.0,"3,2","5,2",0
02/01/2023,1000,"24,6","24,7","24,5",90.0,90.0,88.0,"22,8","22,8","22,5","1006,5","1006,5","1005,9",0,74.0,"1,4","0,3",0
02/01/2023,1100,"25,3","25,3","24,6",88.0,90.0,87.0,"23,1","23,1","22,7","1007,4","1007,4","1006,5","1,2",87.0,"2,1","130,2",0
02/01/2023,1200,26,"26,4","25,2",83.0,88.0,82.0,23,"23,7","22,7","1008,2","1008,2","1007,4","1,8",89.0,"2,9","605,7",0
02/01/2023,1300,"26,3","27,2",26,80.0,83.0,77.0,"22,6","23,3","22,3","1008,8","1008,8","1008,2","1,7",118.0,"3,2","724,6",0
02/01/2023,1400,"27,6","27,6","26,3",76.0,82.0,76.0,"22,9","23,1","22,1","1008,7","1008,8","1008,6","0,6",152.0,"2,6","836,5",0
02/01/2023,1500,"23,8","27,6","23,8",94.0,94.0,74.0,"22,8",23,"22,2","1008,6","1008,9","1008,5","1,7",235.0,"4,1","251,2","34,8"
02/01/2023,1600,"23,9",24,"23,4",95.0,95.0,94.0,"23,1","23,1","22,5","1007,5","1008,6","1007,4","2,9",289.0,"6,8","254,6","15,2"
