Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2023;0;23,2;23,6;23,2;91;91;89;21,7;21,8;21,6;1006,9;1006,9;1006,2;1,4;35;5,8;;0,2
01/01/2023;100;23,4;23,4;23,2;92;92;91;22;22;21,8;1007;1007;1006,9;1,1;63;3,3;;0
01/01/2023;200;23,5;23,7;23,4;91;92;91;22;22,1;22;1007,2;1007,3;1007,1;0,7;99;2,9;;0
01/01/2023;300;23,6;23,7;23,5;91;91;91;22,2;22,2;22;1007;1007,2;1007;1,2;63;2,1;;0
01/01/2023;400;23,4;23,7;23,4;92;92;91;22,1;22,2;22;1006,9;1007;1006,9;1,5;45;2,4;;0
01/01/2023;500;23,4;23,4;23,3;93;93;92;22,1;22,1;22;1006,2;1006,9;1006,2;1,1;69;2,5;;0
01/01/2023;600;23,6;23,6;23,4;93;93;93;22,3;22,3;22,1;1005,6;1006,2;1005,6;0,7;112;2;;0
01/01/2023;700;23,7;23,7;23,5;93;93;93;22,5;22,5;22,2;1005,3;1005,6;1005,3;0,3;44;1,4;;0
01/01/2023;800;23,5;23,7;23,5;93;93;93;22,4;22,5;22,3;1005,3;1005,3;1005,2;0,4;28;1,4;;0
01/01/2023;900;23,3;23,5;23,3;93;93;93;22,1;22,3;22,1;1006;1006;1005,3;1,5;50;3;;0,2
01/01/2023;1000;23,3;23,4;23,2;92;93;92;22;22,1;22;1006,5;1006,5;1006;1,7;78;3,6;0,2;0
01/01/2023;1100;23,8;23,8;23,3;91;92;91;22,2;22,3;22;1007,4;1007,4;1006,5;1,3;57;2,8;127,9;0
01/01/2023;1200;24,7;24,9;23,8;86;91;86;22,3;22,7;22,1;1008,1;1008,1;1007,4;2,4;79;3,5;631,4;0
01/01/2023;1300;27,4;27,6;24,7;76;87;75;22,7;23,2;22,2;1008,7;1008,8;1008,1;1,8;90;4,2;1859,6;0
01/01/2023;1400;28,5;28,5;27,4;73;76;71;23,1;23,1;22,1;1008,7;1008,9;1008,7;1,5;153;3,9;2048,6;0
01/01/2023;1500;29,7;29,8;28,3;71;74;69;23,8;24,3;22,5;1008,5;1008,7;1008,5;2,1;160;4,5;2419,1;0
01/01/2023;1600;29,7;30,9;29,2;69;71;66;23,5;24,5;22,8;1007,7;1008,5;1007,7;2,8;131;5,2;2919,7;0
01/01/2023;1700;30,2;31,3;29,5;65;69;63;22,9;24,1;22,7;1006;1007,7;1006;2,7;181;6,2;2790,4;0
01/01/2023;1800;32,6;32,9;30,2;60;67;56;23,9;24,1;22,3;1003,9;1006;1003,9;2,4;181;5,4;3277,3;0
01/01/2023;1900;30,1;33,1;30,1;65;65;55;22,7;23,9;22,4;1003,1;1003,9;1003,1;3,2;77;6;1730,9;0
01/01/2023;2000;27,4;30,1;27,3;76;76;61;22,7;23;20,9;1003,3;1003,3;1002,9;3,3;76;8,3;382,2;0
01/01/2023;2100;28,4;28,4;27,4;69;76;69;22,1;23;22;1003,3;1003,5;1003,2;2,7;69;5,8;751,5;0
01/01/2023;2200;27,2;28,4;27,2;76;76;69;22,6;22,6;22;1003,7;1003,7;1003,3;1,6;75;4,7;265,4;0
01/01/2023;2300;26,3;27,2;26,3;82;82;76;22,9;22,9;22,5;1005,1;1005,1;1003,7;1,6;75;3,2;5,2;0
02/01/2023;0;26;26,4;26;85;85;81;23,2;23,2;22,9;1005,8;1005,8;1005,1;1,3;43;2,7;;0
02/01/2023;100;25,6;26;25,6;87;87;85;23,3;23,4;23,2;1006,7;1006,7;1005,8;1,4;46;2,3;;0
02/01/2023;200;25,6;25,9;25,6;85;87;85;23;23,4;22,9;1007,4;1007,4;1006,7;1,6;61;3,6;;0
02/01/2023;300;25,2;25,6;25,2;86;86;85;22,8;23;22,7;1007,5;1007,6;1007,4;1,8;54;3,7;;0
02/01/2023;400;25,1;25,2;25,1;88;88;86;22,9;22,9;22,7;1007;1007,5;1007;1,1;55;3,5;;0
02/01/2023;500;25,1;25,3;25,1;89;89;87;23,1;23,1;22,8;1006,3;1007;1006,3;0,6;345;2,1;;0
02/01/2023;600;24,8;25,1;24,8;90;90;89;23,1;23,2;23,1;1005,6;1006,3;1005,6;0,7;49;1,8;;0,2
02/01/2023;700;24,8;25;24,8;90;90;89;23;23,1;22,9;1005,6;1005,6;1005,4;1,1;297;1,7;;0
02/01/2023;800;24,8;25;24,8;88;90;87;22,6;23,1;22,6;1005,7;1005,7;1005,5;1,4;325;3;;0
02/01/2023;900;24,7;24,8;24,7;88;89;88;22,6;22,7;22,5;1005,9;1006;1005,7;0,3;35;3;;0
02/01/2023;1000;24,6;24,7;24,5;90;90;88;22,8;22,8;22,5;1006,5;1006,5;1005,9;0;74;1,4;0,3;0
02/01/2023;1100;25,3;25,3;24,6;88;90;87;23,1;23,1;22,7;1007,4;1007,4;1006,5;1,2;87;2,1;130,2;0
02/01/2023;1200;26;26,4;25,2;83;88;82;23;23,7;22,7;1008,2;1008,2;1007,4;1,8;89;2,9;605,7;0
02/01/2023;1300;26,3;27,2;26;80;83;77;22,6;23,3;22,3;1008,8;1008,8;1008,2;1,7;118;3,2;724,6;0
02/01/2023;1400;27,6;27,6;26,3;76;82;76;22,9;23,1;22,1;1008,7;1008,8;1008,6;0,6;152;2,6;836,5;0
02/01/2023;1500;23,8;27,6;23,8;94;94;74;22,8;23;22,2;1008,6;1008,9;1008,5;1,7;235;4,1;251,2;34,8
02/01/2023;1600;23,9;24;23,4;95;95;94;23,1;23,1;22,5;1007,5;1008,6;1007,4;2,9;289;6,8;254,6;15,2
02/01/2023;1700;24,4;24,7;24;93;95;93;23,2;23,8;23,1;1006,7;1007,5;1006,7;3,3;294;7,3;575,9;0
02/01/2023;1800;24;24,5;24;91;93;91;22,6;23,2;22,4;1006;1006,7;1006;3,6;295;8;375,9;0
02/01/2023;1900;23,5;24,1;23,4;93;94;91;22,4;22,6;22,3;1005,4;1006;1005,3;4,2;267;9,2;115,5;2,2
02/01/2023;2000;23,6;23,6;23,3;93;93;92;22,4;22,4;22;1005,4;1005,5;1005,2;3;249;9,7;62,7;1,4
02/01/2023;2100;23,2;23,6;23,2;94;94;92;22,1;22,4;22,1;1005,1;1005,5;1005,1;1,7;276;6,9;38,1;5,8
02/01/2023;2200;23,1;23,2;23;91;94;91;21,6;22,1;21,6;1004,9;1005,1;1004,6;2,4;267;5;45,2;2,8
02/01/2023;2300;23,4;23,4;23,1;93;93;91;22,2;22,2;21,5;1005;1005;1004,7;1,7;325;4,6;5,4;0
03/01/2023;0;23,5;23,5;23,1;92;93;92;22,1;22,2;21,8;1006,2;1006,2;1005;1;315;3,3;;0
03/01/2023;100;23,3;23,5;23,3;93;93;92;22;22,1;22;1007;1007;1006,1;0,1;333;2,4;0,1;0
03/01/2023;200;23,2;23,3;23,2;93;93;93;22,1;22,1;22;1007,3;1007,3;1007;0,4;102;1,3;;0
03/01/2023;300;23,1;23,2;23;94;94;93;22,1;22,1;21,9;1006,8;1007,4;1006,8;0;79;2;;0
03/01/2023;400;23,3;23,4;23,1;92;94;92;21,9;22,3;21,8;1006,5;1006,8;1006,5;0,6;127;3,4;;0
03/01/2023;500;22,7;23,3;22,7;94;94;92;21,7;21,9;21,6;1006;1006,6;1006;0,3;26;2,3;;0
03/01/2023;600;22,9;22,9;22,7;94;94;94;21,9;21,9;21,6;1005,4;1006;1005,2;1,2;28;2,3;;0
03/01/2023;700;22,8;22,9;22,7;94;94;94;21,8;21,9;21,7;1005,3;1005,4;1004,9;1,1;29;2,3;;0
03/01/2023;800;22,6;22,8;22,6;94;94;94;21,6;21,8;21,6;1005,7;1005,7;1005,3;1,1;52;2,7;;0
03/01/2023;900;22,5;22,6;22,4;94;94;94;21,5;21,6;21,5;1006,2;1006,2;1005,7;1,6;36;2,9;;0
03/01/2023;1000;22,6;22,6;22,5;94;94;94;21,7;21,7;21,5;1007,2;1007,2;1006,2;0,9;57;2,8;0,6;0
03/01/2023;1100;22,9;22,9;22,6;94;94;94;21,9;21,9;21,7;1008,1;1008,1;1007,2;1,4;49;2;104;0
03/01/2023;1200;24,1;24,1;22,9;91;94;91;22,5;22,6;21,9;1009,2;1009,2;1008,1;1,2;19;2,9;366,1;0
03/01/2023;1300;25,1;25,2;24,1;86;91;85;22,6;23;22,2;1009,8;1009,9;1009,2;1,9;48;3,7;912,3;0
03/01/2023;1400;26;26;25;84;86;83;23;23;22,2;1009,9;1010;1009,8;1,1;24;3,1;838,1;0
03/01/2023;1500;26,9;26,9;25,7;79;84;79;23;23,2;22,3;1009,5;1009,9;1009,5;1,9;45;3,5;1035,3;0
03/01/2023;1600;27,3;28,2;26,7;72;79;69;21,9;23,5;21,4;1008,3;1009,5;1008,3;2,5;342;5,5;1969,6;0
03/01/2023;1700;24,3;27,3;24,3;88;88;72;22,1;23,5;21,7;1007,3;1008,3;1007,3;1,3;290;5,5;891,3;5
03/01/2023;1800;25,6;25,6;24,3;83;89;82;22,4;22,7;21,9;1005,7;1007,3;1005,7;1;25;3,6;558,6;0,2
03/01/2023;1900;26,4;26,5;25,6;79;83;76;22,4;22,9;21,7;1004,5;1005,7;1004,5;0,8;159;2,2;880,7;0
03/01/2023;2000;26,2;26,4;26;78;80;78;22,1;22,6;21,9;1003,8;1004,5;1003,8;1,7;121;3;804,9;0
03/01/2023;2100;26,1;26,4;26;79;82;78;22,2;22,9;21,9;1003,7;1003,8;1003,6;1,9;121;3,2;694,4;0
03/01/2023;2200;25,7;26,2;25,7;81;82;79;22,3;22,6;22,1;1004,1;1004,1;1003,7;1,4;75;3,1;266,2;0
03/01/2023;2300;24,9;25,7;24,9;87;87;81;22,5;22,6;22,2;1004,6;1004,6;1004,1;0,3;134;2,6;5,9;0
04/01/2023;0;24,9;25,2;24,9;88;88;87;22,7;22,9;22,5;1005,4;1005,4;1004,5;0;6;1,3;;0
04/01/2023;100;24,6;24,9;24,5;91;91;88;23;23;22,7;1006,1;1006,1;1005,4;0,3;45;1,1;;0
04/01/2023;200;24,8;24,9;24,6;91;91;90;23,2;23,2;23;1007;1007;1006,1;0,1;93;1,1;;0
04/01/2023;300;24,6;24,8;24,5;92;92;91;23,2;23,2;23,1;1007,4;1007,4;1007;1,5;105;2,3;;0
04/01/2023;400;24,2;24,6;24,2;93;93;92;22,9;23,2;22,9;1006,9;1007,4;1006,9;1,9;73;3,1;;0
04/01/2023;500;24,1;24,2;24,1;93;93;93;22,9;22,9;22,9;1006,2;1006,9;1006,2;1,1;97;3,1;;0
04/01/2023;600;24;24,1;24;93;93;93;22,9;22,9;22,8;1005,3;1006,2;1005,3;0,6;121;2,2;;0
04/01/2023;700;24,2;24,2;24;94;94;93;23,1;23,1;22,9;1005,3;1005,3;1005,1;0,6;116;1,8;;0
04/01/2023;800;24;24,2;24;93;94;93;22,9;23,1;22,9;1005,2;1005,3;1005;0,9;172;2,2;;0
04/01/2023;900;23,7;24,1;23,7;93;93;92;22,6;22,9;22,5;1005,9;1005,9;1005,1;1,5;117;3;;0
04/01/2023;1000;23,8;24;23,7;93;94;93;22,7;22,8;22,6;1006,4;1006,5;1005,9;1,1;82;3;0,4;0
04/01/2023;1100;24,3;24,3;23,8;92;94;92;22,9;22,9;22,7;1007,3;1007,3;1006,4;1,2;86;2,2;151,1;0
04/01/2023;1200;24,9;25;24,3;87;92;87;22,6;22,9;22,5;1008;1008;1007,3;2,2;96;3,9;551,1;0
04/01/2023;1300;26,8;26,8;24,9;78;88;78;22,6;23,1;22,5;1008,7;1008,7;1008;1,6;69;4,8;1255,8;0
04/01/2023;1400;28,2;28,7;26,7;72;78;70;22,7;23,3;22,2;1008,6;1008,8;1008,6;1,8;91;4,2;2342,3;0
04/01/2023;1500;29,9;29,9;28,2;71;73;66;24;24,2;22,3;1007,8;1008,6;1007,8;2;142;5,2;2269,1;0
04/01/2023;1600;30,9;31;28,4;62;73;61;22,6;24,7;22,3;1007,2;1007,8;1007,2;1,6;115;5,2;2350,9;0
04/01/2023;1700;30,7;31,6;30,1;61;68;58;22,4;23,8;21,6;1006;1007,2;1006;2,1;90;6,1;2196,9;0
